weather,traffic,temp,hour,delay
clear,medium,277.35,11,0
clear,medium,277.83,12,0
clear,medium,278.47,13,0
clear,medium,278.71,14,0
clear,high,280.56,16,0
clear,high,280.56,17,0
clear,medium,279.26,18,0
clear,low,280.56,20,0
clear,low,280.56,21,0
clear,low,280.56,22,0
clear,low,280.56,23,0
clear,low,280.56,0,0
clear,low,274.41,1,0
clear,low,274.41,2,0
clear,low,274.41,3,0
clear,low,274.41,4,0
clear,low,274.41,5,0
clear,high,274.41,6,0
clear,high,274.91,7,0
clear,high,274.91,8,0
clear,high,274.91,9,0
clear,medium,274.91,10,0
clear,medium,277.12,12,0
clear,high,278.04,13,0
clear,high,278.19,14,0
clear,high,278.38,15,0
clear,high,278.59,16,0
clear,high,278.65,17,0
clear,medium,278.74,18,0
clear,medium,278.74,18,0
clear,low,278.87,19,0
clear,low,278.87,19,0
clear,low,279.02,20,0
clear,low,279.02,20,0
clear,low,278.84,21,0
rain,low,278.84,21,0
clear,low,278.84,21,0
clear,low,278.56,22,0
rain,low,278.56,22,0
rain,low,278.56,22,0
clear,low,278.5,23,0
clear,low,278.5,23,0
clear,low,278.03,0,0
rain,low,278.03,0,0
clear,low,278.03,0,0
rain,low,277.28,1,0
clear,low,277.28,1,0
rain,low,277.06,2,0
clear,low,277.06,2,0
rain,low,277.06,2,0
snow,low,277.06,2,0
rain,low,276.83,3,0
clear,low,276.83,3,0
rain,low,276.83,3,0
rain,low,277.15,4,0
clear,low,277.15,4,0
rain,low,277.57,5,0
clear,low,277.57,5,0
rain,high,277.51,6,1
clear,high,277.51,6,0
rain,high,277.51,6,1
rain,high,277.41,7,1
clear,high,277.41,7,0
clear,high,277.68,8,0
rain,high,277.68,8,1
clear,high,278.15,9,0
clear,medium,278.42,10,0
clear,medium,278.61,11,0
clear,high,279.14,12,0
clear,medium,278.99,13,0
rain,high,278.83,14,1
rain,high,278.57,15,1
rain,high,278.57,15,1
rain,high,278.21,16,1
clear,high,278.21,16,0
rain,high,278.21,16,1
rain,high,278.21,16,1
clear,high,277.96,17,0
rain,high,277.96,17,1
clear,medium,277.51,18,0
clear,low,277.18,19,0
clear,low,277.08,20,0
clear,low,276.98,21,0
rain,low,276.93,22,0
clear,low,276.76,23,0
clear,low,276.79,0,0
clear,low,276.64,1,0
clear,low,276.41,2,0
clear,low,276.32,3,0
clear,low,276.32,4,0
clear,low,276.29,5,0
clear,high,276.29,6,0
clear,high,276.38,7,0
clear,high,276.94,8,0
clear,high,277.39,9,0
clear,medium,278.31,10,0
clear,high,278.71,11,0
clear,high,279.86,12,0
clear,high,279.97,13,0
clear,high,280.53,14,0
clear,high,280.57,15,0
clear,high,280.3,16,0
clear,high,279.79,17,0
clear,medium,278.91,18,0
clear,medium,277.79,19,0
clear,medium,277.0,20,0
clear,low,276.52,21,0
clear,low,276.25,22,0
clear,low,276.1,23,0
clear,low,276.1,0,0
clear,low,275.91,1,0
clear,low,275.69,2,0
clear,low,275.4,3,0
clear,low,275.44,4,0
clear,low,275.35,5,0
clear,high,275.4,6,0
clear,high,275.4,7,0
clear,high,275.89,8,0
clear,high,277.07,9,0
clear,medium,278.66,10,0
clear,high,282.16,11,0
clear,high,282.49,12,0
clear,high,284.21,13,0
clear,high,284.57,14,0
clear,high,284.64,15,0
clear,high,284.11,16,0
clear,high,282.06,17,0
clear,high,279.8,18,0
clear,medium,278.54,19,0
clear,medium,278.09,20,0
clear,low,277.88,21,0
clear,low,277.36,22,0
clear,low,277.25,23,0
clear,low,276.64,0,0
clear,low,275.98,1,0
clear,low,275.73,2,0
clear,low,275.63,3,0
clear,low,275.29,4,0
clear,low,275.25,5,0
clear,low,275.1,6,0
clear,low,275.23,7,0
